valuation_date,currency,rate_to_cny
2024-06-03,USD,7.1257
2024-06-04,USD,7.0647
2024-06-05,USD,7.2688
2024-07-11,HKD,0.92953
2024-07-12,HKD,0.92857
2024-07-15,HKD,0.92989
2024-07-16,HKD,0.93092
2024-07-17,HKD,0.92998
2024-07-18,HKD,0.92955
2024-07-19,HKD,0.93075
2024-07-22,HKD,0.93165
2024-07-23,HKD,0.93152
2024-07-24,HKD,0.93006
2024-07-25,HKD,0.92626
2024-07-26,HKD,0.92869
2024-07-29,HKD,0.92947
2024-07-30,HKD,0.92802
2024-07-31,HKD,0.92402
2024-08-01,HKD,0.92697
2024-08-02,HKD,0.91704
2024-08-05,HKD,0.91532
2024-08-06,HKD,0.91804
2024-08-07,HKD,0.92017
2024-08-08,HKD,0.92039
2024-08-09,HKD,0.91899
2024-08-12,HKD,0.9208
2024-08-13,HKD,0.91866
2024-08-14,HKD,0.91599
2024-08-15,HKD,0.92003
2024-08-16,HKD,0.91917
2024-08-19,HKD,0.91662
2024-08-20,HKD,0.9157
2024-08-21,HKD,0.91535
2024-08-22,HKD,0.91616
2024-08-23,HKD,0.91375
2024-08-26,HKD,0.91336
2024-08-27,HKD,0.91315
2024-08-28,HKD,0.91322
2024-08-29,HKD,0.91011
2024-08-30,HKD,0.90928
2024-09-02,HKD,0.91278
2024-09-03,HKD,0.91304
2024-09-04,HKD,0.91214
2024-09-05,HKD,0.91001
2024-09-06,HKD,0.90916
2024-09-09,HKD,0.91225
2024-09-10,HKD,0.91315
2024-09-11,HKD,0.91286
2024-09-12,HKD,0.9121
2024-09-13,HKD,0.90939
2024-09-16,HKD,0.91019
2024-09-17,HKD,0.90999
2024-09-18,HKD,0.9086
2024-09-19,HKD,0.90667
2024-09-20,HKD,0.90504
2024-09-23,HKD,0.90542
2024-09-24,HKD,0.90323
2024-09-25,HKD,0.90321
2024-09-26,HKD,0.90117
2024-09-27,HKD,0.90206
2024-09-30,HKD,0.90284
2024-10-01,HKD,0.90296
2024-10-02,HKD,0.90388
2024-10-03,HKD,0.90383
2024-10-04,HKD,0.90351
2024-10-07,HKD,0.90364
2024-10-08,HKD,0.90786
2024-10-09,HKD,0.91106
2024-10-10,HKD,0.91103
2024-10-11,HKD,0.9093
2024-10-14,HKD,0.9128
2024-10-15,HKD,0.91656
2024-10-16,HKD,0.91616
2024-10-17,HKD,0.91637
2024-10-18,HKD,0.91387
2024-10-21,HKD,0.91579
2024-10-22,HKD,0.91644
2024-10-23,HKD,0.91713
2024-10-24,HKD,0.91621
2024-10-25,HKD,0.91631
2024-10-28,HKD,0.9168
2024-10-29,HKD,0.91748
2024-10-30,HKD,0.91542
2024-10-31,HKD,0.91566
2024-11-01,HKD,0.91563
2024-11-04,HKD,0.91337
2024-11-05,HKD,0.91405
2024-11-06,HKD,0.92309
2024-11-07,HKD,0.91898
2024-11-08,HKD,0.92329
2024-11-11,HKD,0.92769
2024-11-12,HKD,0.92977
2024-11-13,HKD,0.9285
2024-11-14,HKD,0.92873
2024-11-15,HKD,0.92871
2024-11-18,HKD,0.92969
2024-11-19,HKD,0.93
2024-11-20,HKD,0.93091
2024-11-21,HKD,0.92982
2024-11-22,HKD,0.93078
2024-11-25,HKD,0.93023
2024-11-26,HKD,0.93176
2024-11-27,HKD,0.93113
2024-11-28,HKD,0.93066
2024-11-29,HKD,0.93062
2024-12-02,HKD,0.93441
2024-12-03,HKD,0.93614
2024-12-04,HKD,0.93303
2024-12-05,HKD,0.93278
2024-12-06,HKD,0.93453
2024-12-09,HKD,0.93386
2024-12-10,HKD,0.93256
2024-12-11,HKD,0.93378
2024-12-12,HKD,0.93489
2024-12-13,HKD,0.93565
2024-12-16,HKD,0.93688
2024-12-17,HKD,0.93758
2024-12-18,HKD,0.9377
2024-12-19,HKD,0.93899
2024-12-20,HKD,0.9382
2024-12-23,HKD,0.93928
2024-12-24,HKD,0.93913
2024-12-25,HKD,0.93952
2024-12-26,HKD,0.93947
2024-12-27,HKD,0.94021
2024-12-30,HKD,0.93984
2024-12-31,HKD,0.9396
2025-01-01,HKD,0.9396
2025-01-02,HKD,0.93861
2025-01-03,HKD,0.94098
2025-01-06,HKD,0.94171
2025-01-07,HKD,0.94206
2025-01-08,HKD,0.9425
2025-01-09,HKD,0.94211
2025-01-10,HKD,0.94159
2025-01-13,HKD,0.94169
2025-01-14,HKD,0.94147
2025-01-15,HKD,0.94132
2025-01-16,HKD,0.94148
2025-01-17,HKD,0.94077
2025-01-20,HKD,0.93836
2025-01-21,HKD,0.93398
2025-01-22,HKD,0.93378
2025-01-23,HKD,0.93563
2025-01-24,HKD,0.93024
2025-01-27,HKD,0.93096
2025-01-28,HKD,0.93073
2025-01-29,HKD,0.93051
2025-01-30,HKD,0.93054
2025-01-31,HKD,0.93044
2025-02-03,HKD,0.93042
2025-02-04,HKD,0.93102
2025-02-05,HKD,0.9339
2025-02-06,HKD,0.93599
2025-02-07,HKD,0.93543
2025-02-10,HKD,0.93781
2025-02-11,HKD,0.93776
2025-02-12,HKD,0.9382
2025-02-13,HKD,0.93585
2025-02-14,HKD,0.9317
2025-02-17,HKD,0.9335
2025-02-18,HKD,0.93617
2025-02-19,HKD,0.93647
2025-02-20,HKD,0.93297
2025-02-21,HKD,0.93309
2025-02-24,HKD,0.93217
2025-02-25,HKD,0.93275
2025-02-26,HKD,0.93379
2025-02-27,HKD,0.9367
2025-02-28,HKD,0.93621
2025-03-03,HKD,0.93663
2025-03-04,HKD,0.93481
2025-03-05,HKD,0.93305
2025-03-06,HKD,0.93242
2025-03-07,HKD,0.93086
2025-03-10,HKD,0.93443
2025-03-11,HKD,0.93016
2025-03-12,HKD,0.93144
2025-03-13,HKD,0.93205
2025-03-14,HKD,0.93113
2025-03-17,HKD,0.93089
2025-03-18,HKD,0.93021
2025-03-19,HKD,0.93042
2025-03-20,HKD,0.93242
2025-03-21,HKD,0.93243
2025-03-24,HKD,0.93296
2025-03-25,HKD,0.93338
2025-03-26,HKD,0.93458
2025-03-27,HKD,0.93427
2025-03-28,HKD,0.93368
2025-03-31,HKD,0.93268
2025-04-01,HKD,0.93428
2025-04-02,HKD,0.93386
2025-04-03,HKD,0.93609
2025-04-04,HKD,0.93648
2025-04-07,HKD,0.94083
2025-04-08,HKD,0.94438
2025-04-09,HKD,0.94698
2025-04-10,HKD,0.94267
2025-04-11,HKD,0.9404
2025-04-14,HKD,0.94272
2025-04-15,HKD,0.94295
2025-04-16,HKD,0.9411
2025-04-17,HKD,0.94011
2025-04-18,HKD,0.94041
2025-04-21,EUR,8.39683
2025-04-21,HKD,0.93967
2025-04-21,JPY,0.049211
2025-04-21,USD,7.2924
2025-04-22,EUR,8.35101
2025-04-22,HKD,0.94246
2025-04-22,JPY,0.049098
2025-04-22,USD,7.3123
2025-04-23,EUR,8.24524
2025-04-23,HKD,0.93889
2025-04-23,JPY,0.048858
2025-04-23,USD,7.287
2025-04-24,EUR,8.30112
2025-04-24,HKD,0.93928
2025-04-24,JPY,0.04924
2025-04-24,USD,7.2884
2025-04-25,EUR,8.28247
2025-04-25,HKD,0.93922
2025-04-25,JPY,0.049379
2025-04-25,USD,7.2877
2025-04-27,USD,7.2877
2025-04-28,EUR,8.33201
2025-04-28,HKD,0.94036
2025-04-28,JPY,0.049017
2025-04-28,USD,7.2947
2025-04-29,EUR,8.27669
2025-04-29,HKD,0.93685
2025-04-29,JPY,0.049448
2025-04-29,USD,7.2695
2025-04-30,EUR,8.23735
2025-04-30,HKD,0.93745
2025-04-30,JPY,0.049568
2025-04-30,USD,7.27135
2025-05-01,EUR,8.21117
2025-05-01,HKD,0.93733
2025-05-01,JPY,0.049253
2025-05-01,USD,7.27135
2025-05-02,EUR,8.21372
2025-05-02,HKD,0.93813
2025-05-02,JPY,0.049468
2025-05-02,USD,7.27135
2025-05-05,EUR,8.22717
2025-05-05,HKD,0.93812
2025-05-05,JPY,0.049638
2025-05-05,USD,7.27135
2025-05-06,EUR,8.20542
2025-05-06,HKD,0.93076
2025-05-06,JPY,0.049291
2025-05-06,USD,7.21705
2025-05-07,EUR,8.16453
2025-05-07,HKD,0.93084
2025-05-07,JPY,0.048977
2025-05-07,USD,7.22525
2025-05-08,EUR,8.12318
2025-05-08,HKD,0.93053
2025-05-08,JPY,0.0492
2025-05-08,USD,7.23475
2025-05-09,EUR,8.14012
2025-05-09,HKD,0.93027
2025-05-09,JPY,0.049325
2025-05-09,USD,7.23695
2025-05-12,EUR,7.98616
2025-05-12,HKD,0.92433
2025-05-12,JPY,0.0492
2025-05-12,USD,7.20285
2025-05-13,EUR,8.06066
2025-05-13,HKD,0.92415
2025-05-13,JPY,0.04868
2025-05-13,USD,7.20635
2025-05-14,EUR,8.0555
2025-05-14,HKD,0.92319
2025-05-14,JPY,0.048161
2025-05-14,USD,7.2085
2025-05-15,EUR,8.06425
2025-05-15,HKD,0.92317
2025-05-15,JPY,0.04791
2025-05-15,USD,7.2073
2025-05-16,EUR,8.04833
2025-05-16,HKD,0.92247
2025-05-16,JPY,0.047831
2025-05-16,USD,7.2095
2025-05-19,EUR,8.11202
2025-05-19,HKD,0.92238
2025-05-19,JPY,0.047689
2025-05-19,USD,7.21485
2025-05-20,EUR,8.14576
2025-05-20,HKD,0.92238
2025-05-20,JPY,0.047363
2025-05-20,USD,7.2195
2025-05-21,EUR,8.16115
2025-05-21,HKD,0.91952
2025-05-21,JPY,0.047474
2025-05-21,USD,7.2025
2025-05-22,EUR,8.12681
2025-05-22,HKD,0.92039
2025-05-22,JPY,0.047206
2025-05-22,USD,7.2043
2025-05-23,EUR,8.16075
2025-05-23,HKD,0.91664
2025-05-23,JPY,0.047349
2025-05-23,USD,7.1806
2025-05-26,EUR,8.18444
2025-05-26,HKD,0.91705
2025-05-26,JPY,0.047543
2025-05-26,USD,7.1869
2025-05-27,EUR,8.1519
2025-05-27,HKD,0.91791
2025-05-27,JPY,0.047383
2025-05-27,USD,7.1956
2025-05-28,EUR,8.12509
2025-05-28,HKD,0.91777
2025-05-28,JPY,0.04772
2025-05-28,USD,7.1948
2025-05-29,EUR,8.17181
2025-05-29,HKD,0.91628
2025-05-29,JPY,0.047695
2025-05-29,USD,7.1859
2025-05-30,EUR,8.17028
2025-05-30,HKD,0.91809
2025-05-30,JPY,0.047995
2025-05-30,USD,7.19975
2025-06-02,EUR,8.23795
2025-06-02,HKD,0.91769
2025-06-02,JPY,0.048057
2025-06-02,USD,7.19975
2025-06-03,EUR,8.17389
2025-06-03,HKD,0.91612
2025-06-03,JPY,0.04866
2025-06-03,USD,7.18805
2025-06-04,EUR,8.2037
2025-06-04,HKD,0.91561
2025-06-04,JPY,0.049077
2025-06-04,USD,7.1852
2025-06-05,EUR,8.21293
2025-06-05,HKD,0.91442
2025-06-05,JPY,0.049187
2025-06-05,USD,7.176
2025-06-06,EUR,8.19249
2025-06-06,HKD,0.91606
2025-06-06,JPY,0.04905
2025-06-06,USD,7.18955
2025-06-09,EUR,8.20153
2025-06-09,HKD,0.91493
2025-06-09,JPY,0.049036
2025-06-09,USD,7.1811
2025-06-10,EUR,8.21195
2025-06-10,HKD,0.91576
2025-06-10,JPY,0.04908
2025-06-10,USD,7.1877
2025-06-11,EUR,8.26319
2025-06-11,HKD,0.91634
2025-06-11,JPY,0.048948
2025-06-11,USD,7.1932
2025-06-12,EUR,8.31027
2025-06-12,HKD,0.91377
2025-06-12,JPY,0.049029
2025-06-12,USD,7.1733
2025-06-13,EUR,8.29654
2025-06-13,HKD,0.91482
2025-06-13,JPY,0.049016
2025-06-13,USD,7.1816
2025-06-16,EUR,8.30123
2025-06-16,HKD,0.91455
2025-06-16,JPY,0.049202
2025-06-16,USD,7.17975
2025-06-17,EUR,8.24897
2025-06-17,HKD,0.91525
2025-06-17,JPY,0.04967
2025-06-17,USD,7.1852
2025-06-18,EUR,8.25415
2025-06-18,HKD,0.91578
2025-06-18,JPY,0.049797
2025-06-18,USD,7.1894
2025-06-19,EUR,8.26301
2025-06-19,HKD,0.91568
2025-06-19,JPY,0.049646
2025-06-19,USD,7.18835
2025-06-20,EUR,8.27298
2025-06-20,HKD,0.91446
2025-06-20,JPY,0.049503
2025-06-20,USD,7.17985
2025-06-23,EUR,8.31264
2025-06-23,HKD,0.91452
2025-06-23,JPY,0.049507
2025-06-23,USD,7.18
2025-06-24,EUR,8.32593
2025-06-24,HKD,0.91354
2025-06-24,JPY,0.048857
2025-06-24,USD,7.17165
2025-06-25,EUR,8.36773
2025-06-25,HKD,0.91419
2025-06-25,JPY,0.04879
2025-06-25,USD,7.17675
2025-06-26,EUR,8.38639
2025-06-26,HKD,0.91303
2025-06-26,JPY,0.048488
2025-06-26,USD,7.16755
2025-06-27,EUR,8.40623
2025-06-27,HKD,0.91363
2025-06-27,JPY,0.047977
2025-06-27,USD,7.17255
2025-06-30,EUR,8.44403
2025-06-30,GBP,9.011
2025-06-30,HKD,0.91256
2025-06-30,JPY,0.048233
2025-06-30,USD,7.16385
2025-07-01,EUR,8.45977
2025-07-01,HKD,0.91269
2025-07-01,JPY,0.048496
2025-07-01,USD,7.16535
2025-07-02,EUR,8.45457
2025-07-02,HKD,0.91274
2025-07-02,JPY,0.048075
2025-07-02,USD,7.1658
2025-07-03,EUR,8.42877
2025-07-03,HKD,0.91318
2025-07-03,JPY,0.048291
2025-07-03,USD,7.16915
2025-07-04,EUR,8.43995
2025-07-04,HKD,0.91266
2025-07-04,JPY,0.048257
2025-07-04,USD,7.16525
2025-07-07,EUR,8.4005
2025-07-07,HKD,0.91395
2025-07-07,JPY,0.048061
2025-07-07,USD,7.1747
2025-07-08,EUR,8.41193
2025-07-08,HKD,0.91386
2025-07-08,JPY,0.047842
2025-07-08,USD,7.17405
2025-07-09,EUR,8.41549
2025-07-09,HKD,0.91467
2025-07-09,JPY,0.047461
2025-07-09,USD,7.18015
2025-07-10,EUR,8.39493
2025-07-10,HKD,0.91398
2025-07-10,JPY,0.04707
2025-07-10,USD,7.17485
2025-07-11,EUR,8.38003
2025-07-11,HKD,0.91315
2025-07-11,JPY,0.046776
2025-07-11,USD,7.16855
2025-07-14,EUR,8.36018
2025-07-14,HKD,0.91298
2025-07-14,JPY,0.046949
2025-07-14,USD,7.1672
2025-07-15,EUR,8.3214
2025-07-15,HKD,0.9137
2025-07-15,JPY,0.046799
2025-07-15,USD,7.173
2025-07-16,EUR,8.35341
2025-07-16,HKD,0.91455
2025-07-16,JPY,0.046768
2025-07-16,USD,7.17955
2025-07-17,EUR,8.33051
2025-07-17,HKD,0.91516
2025-07-17,JPY,0.047111
2025-07-17,USD,7.18395
2025-07-18,EUR,8.34503
2025-07-18,HKD,0.91466
2025-07-18,JPY,0.046736
2025-07-18,USD,7.1779
2025-07-21,EUR,8.3931
2025-07-21,HKD,0.91415
2025-07-21,JPY,0.046536
2025-07-21,USD,7.17635
2025-07-22,EUR,8.43379
2025-07-22,HKD,0.91399
2025-07-22,JPY,0.046516
2025-07-22,USD,7.17495
2025-07-23,EUR,8.42899
2025-07-23,HKD,0.91209
2025-07-23,JPY,0.046475
2025-07-23,USD,7.1602
2025-07-24,EUR,8.41006
2025-07-24,HKD,0.91135
2025-07-24,JPY,0.046719
2025-07-24,USD,7.15445
2025-07-25,EUR,8.41696
2025-07-25,HKD,0.91312
2025-07-25,JPY,0.046762
2025-07-25,USD,7.16825
2025-07-28,EUR,8.31841
2025-07-28,HKD,0.91436
2025-07-28,JPY,0.046714
2025-07-28,USD,7.17785
2025-07-29,EUR,8.2868
2025-07-29,HKD,0.91425
2025-07-29,JPY,0.046906
2025-07-29,USD,7.1772
2025-07-30,EUR,8.20529
2025-07-30,HKD,0.91636
2025-07-30,JPY,0.046743
2025-07-30,USD,7.19415
2025-07-31,EUR,8.21967
2025-07-31,HKD,0.91722
2025-07-31,JPY,0.047043
2025-07-31,USD,7.20045
2025-08-01,EUR,8.35517
2025-08-01,HKD,0.91872
2025-08-01,JPY,0.047623
2025-08-01,USD,7.21175
2025-08-04,EUR,8.30647
2025-08-04,HKD,0.91439
2025-08-04,JPY,0.047158
2025-08-04,USD,7.1787
2025-08-05,EUR,8.31584
2025-08-05,HKD,0.91507
2025-08-05,JPY,0.047288
2025-08-05,USD,7.184
2025-08-06,EUR,8.37455
2025-08-06,HKD,0.91493
2025-08-06,JPY,0.047309
2025-08-06,USD,7.1826
2025-08-07,EUR,8.37752
2025-08-07,HKD,0.91477
2025-08-07,JPY,0.047502
2025-08-07,USD,7.18145
2025-08-08,EUR,8.36241
2025-08-08,HKD,0.91515
2025-08-08,JPY,0.047906
2025-08-08,USD,7.1842
2025-08-11,EUR,8.35015
2025-08-11,HKD,0.91568
2025-08-11,JPY,0.047634
2025-08-11,USD,7.1888
2025-08-12,EUR,8.38064
2025-08-12,HKD,0.91446
2025-08-12,JPY,0.047736
2025-08-12,USD,7.1792
2025-08-13,EUR,8.39917
2025-08-13,HKD,0.91396
2025-08-13,JPY,0.047311
2025-08-13,USD,7.1751
2025-08-14,EUR,8.36356
2025-08-14,HKD,0.91649
2025-08-14,JPY,0.047153
2025-08-14,USD,7.18025
2025-08-15,EUR,8.40162
2025-08-15,HKD,0.91768
2025-08-15,JPY,0.04724
2025-08-15,USD,7.1821
2025-08-18,EUR,8.37831
2025-08-18,HKD,0.91877
2025-08-18,JPY,0.047518
2025-08-18,USD,7.1849
2025-08-19,EUR,8.36498
2025-08-19,HKD,0.92085
2025-08-19,JPY,0.047677
2025-08-19,USD,7.1824
2025-08-20,EUR,8.36135
2025-08-20,HKD,0.91844
2025-08-20,JPY,0.047928
2025-08-20,USD,7.1762
2025-08-21,EUR,8.33369
2025-08-21,HKD,0.91885
2025-08-21,JPY,0.047455
2025-08-21,USD,7.1805
2025-08-22,EUR,8.39569
2025-08-22,HKD,0.91684
2025-08-22,JPY,0.047318
2025-08-22,USD,7.1657
2025-08-25,EUR,8.30903
2025-08-25,HKD,0.9154
2025-08-25,JPY,0.046951
2025-08-25,USD,7.15155
2025-08-26,EUR,8.32812
2025-08-26,HKD,0.91766
2025-08-26,JPY,0.047261
2025-08-26,USD,7.1529
2025-08-27,EUR,8.32653
2025-08-27,HKD,0.91869
2025-08-27,JPY,0.047227
2025-08-27,USD,7.1543
2025-08-28,EUR,8.33038
2025-08-28,HKD,0.91481
2025-08-28,JPY,0.046792
2025-08-28,USD,7.13065
2025-08-29,EUR,8.33305
2025-08-29,HKD,0.91445
2025-08-29,JPY,0.046873
2025-08-29,USD,7.1308
2025-09-01,EUR,8.35908
2025-09-01,HKD,0.91541
2025-09-01,JPY,0.046675
2025-09-01,USD,7.1378
2025-09-02,EUR,8.31038
2025-09-02,HKD,0.91441
2025-09-02,JPY,0.046942
2025-09-02,USD,7.1395
2025-09-03,EUR,8.32882
2025-09-03,HKD,0.91553
2025-09-03,JPY,0.047284
2025-09-03,USD,7.14215
2025-09-04,EUR,8.31972
2025-09-04,HKD,0.91545
2025-09-04,JPY,0.04719
2025-09-04,USD,7.1417
2025-09-05,EUR,8.35899
2025-09-05,HKD,0.91476
2025-09-05,JPY,0.047222
2025-09-05,USD,7.13285
2025-09-08,EUR,8.38756
2025-09-08,HKD,0.91482
2025-09-08,JPY,0.04705
2025-09-08,USD,7.12985
2025-09-09,EUR,8.33785
2025-09-09,HKD,0.91417
2025-09-09,JPY,0.047465
2025-09-09,USD,7.1215
2025-09-10,EUR,8.32818
2025-09-10,HKD,0.91411
2025-09-10,JPY,0.047293
2025-09-10,USD,7.12115
2025-09-11,EUR,8.35267
2025-09-11,HKD,0.91389
2025-09-11,JPY,0.046661
2025-09-11,USD,7.11865
2025-09-12,EUR,8.36024
2025-09-12,HKD,0.91565
2025-09-12,JPY,0.046707
2025-09-12,USD,7.1248
2025-09-15,EUR,8.37271
2025-09-15,HKD,0.91498
2025-09-15,JPY,0.046662
2025-09-15,USD,7.11905
2025-09-16,EUR,8.44295
2025-09-16,HKD,0.91425
2025-09-16,JPY,0.046589
2025-09-16,USD,7.11435
2025-09-17,EUR,8.39113
2025-09-17,HKD,0.91321
2025-09-17,JPY,0.046957
2025-09-17,USD,7.1036
2025-09-18,EUR,8.3838
2025-09-18,HKD,0.9144
2025-09-18,JPY,0.046914
2025-09-18,USD,7.11245
2025-09-19,EUR,8.35757
2025-09-19,HKD,0.91516
2025-09-19,JPY,0.047316
